Zhangjiakou;China;;4345485
Chifeng;China;minor;4341245
Linfen;China;;4316610
Jiangguanchi;China;minor;4307488
Kabul;Afghanistan;primary;4273156
Phoenix;United States;admin;4219697
Luzhou;China;minor;4218427
Taiyuan;China;admin;4201592
Zhaoqing;China;minor;4151700
Xiaoxita;China;minor;4137900
Xiamen;China;minor;4110000
Fuzhou;China;;4047200
Liuzhou;China;minor;4041700
Zhuzhou;China;minor;4020800
Amman;Jordan;primary;4007526
Jeddah;Saudi Arabia;;3976000
Chuzhou;China;;3937868
Loudi;China;;3931800
Deyang;China;minor;3877000
Qingyuan;China;minor;3874000
Kano;Nigeria;admin;3848885
Wuhu;China;minor;3842100
Seattle;United States;;3789215
Yokohama;Japan;admin;3757630
Binzhou;China;;3748474
Baojishi;China;;3738700
Zaozhuang;China;;3729140
Neijiang;China;minor;3702847
Baicheng;China;minor;3669400
Berlin;Germany;primary;3664088
Anshan;China;;3645884
Lanzhou;China;admin;3616163
Puyang;China;minor;3598740
San Francisco;United States;;3592294
Jiaozuo;China;;3590700
Hechi;China;minor;3545700
Montreal;Canada;;3519595
Detroit;United States;;3506126
Chengde;China;;3473201
Busan;South Korea;admin;3453198
Algiers;Algeria;primary;3415811
Hanzhong;China;;3416196
Shiyan;China;minor;3398000
Lucknow;India;admin;3382000
Siping;China;;3385156
Yulinshi;China;;3351436
Changzhi;China;minor;3334565
Qinzhou;China;minor;3304400
Bazhou;China;minor;3283148
Qincheng;China;minor;3262549
Zhongshan;China;minor;3260000
Suining;China;minor;3252619
Leshan;China;;3235759
San Diego;United States;;3220118
Faisalabad;Pakistan;minor;3203846
Guang'an;China;minor;3205476
Tongren;China;;3168800
Bengbu;China;;3164467
Santa Cruz;Bolivia;admin;3151676
Qinhuangdao;China;;3146300
Tongliao;China;minor;3139153
Jinzhou;China;;3126463
Zhenjiang;China;minor;3113384
Urumqi;China;admin;3112559
Heyuan;China;minor;3093900
Jaipur;India;admin;3073350
Xinzhou;China;minor;3067501
Wuzhou;China;minor;3061100
Addis Ababa;Ethiopia;primary;3041002
Chaoyang;China;;3044641
Brasilia;Brazil;primary;3015268
Mashhad;Iran;admin;3001184
Shaoguan;China;minor;2997600
Kuwait City;Kuwait;primary;2989000
Shanwei;China;minor;2993600
Quezon City;Philippines;admin;2960048
Minneapolis;United States;;2977172
Kyiv;Ukraine;primary;2963199
Sanaa;Yemen;primary;2957000
Meishan;China;;2950545
Guatemala City;Guatemala;primary;2934841
Incheon;South Korea;admin;2913024
Ningde;China;minor;2910000
Tampa;United States;;2908063
Daqing;China;;2904532
Putian;China;minor;2900000
Bandung;Indonesia;admin;2875673
Surabaya;Indonesia;admin;2885555
Salvador;Brazil;admin;2886698
Denver;United States;admin;2876625
Rome;Italy;primary;2872800
La Paz;Bolivia;primary;2867504
Hohhot;China;admin;2866615
Xiangtan;China;;2864800
Pyongyang;North Korea;primary;2863000
Taichung;Taiwan;admin;2803894
Weihai;China;minor;2804771
Rizhao;China;minor;2801013
Mudanjiang;China;minor;2798723
Kaohsiung;Taiwan;admin;2773533
Guayaquil;Ecuador;admin;2723665
Tieling;China;;2717732
Cawnpore;India;;2701324
Dingxi;China;minor;2698624
Taipei;Taiwan;;2684567
Nanping;China;minor;2690000
Zigong;China;;2678899
Chaozhou;China;minor;2656600
Baotou;China;;2650364
Gulou;China;minor;2606000
Longyan;China;minor;2640000
Ankang;China;;2629906
Baoshan;China;;2627000
Huludao;China;minor;2623541
Antananarivo;Madagascar;primary;2610000
Yanjiang;China;minor;2593843
Chattogram;Bangladesh;admin;2581643
Santo Domingo;Dominican Republic;primary;2581827
Sanming;China;minor;2580000
Longba;China;;2567718
Brooklyn;United States;;2559903
Yangjiang;China;minor;2555600
Jiamusi;China;minor;2552097
Ibadan;Nigeria;admin;2550593
Luohe;China;minor;2544266
Lincang;China;;2536000
Medellin;Colombia;admin;2529403
Xuanzhou;China;;2532938
Yunfu;China;minor;2526900
Dubai;United Arab Emirates;admin;2502715
Mirzapur;India;;2496970
Tashkent;Uzbekistan;primary;2497900
Guangyuan;China;;2484122
Cali;Colombia;admin;2471474
Huangshi;China;minor;2471700
Ouagadougou;Burkina Faso;primary;2453496
Daegu;South Korea;admin;2461002
Fortaleza;Brazil;admin;2452185
Yaounde;Cameroon;primary;2440462
Douala;Cameroon;admin;2446945
Jilin;China;;2396000
Dandong;China;;2444697
Lianshan;China;minor;2426000
Yingkou;China;minor;2428534
Nagpur;India;;2405665
Omdurman;Sudan;;2395159
Bekasi;Indonesia;;2381053
Ghaziabad;India;;2375820
Yuxi;China;minor;2386000
Brisbane;Australia;admin;2360241
Anshun;China;;2353100
Depok;Indonesia;;2330333
Shangzhou;China;;2341742
Huainan;China;;2333896
Kuaidamao;China;minor;2324439
Accra;Ghana;primary;2291352
Fukuoka;Japan;admin;2280000
Jincheng;China;minor;2279146
Vancouver;Canada;;2264823
Tangerang;Indonesia;;2237006
Sanmenxia;China;;2234018
Laibin;China;minor;2233900
Queens;United States;;2230722
Qinbaling;China;;2211191
Xining;China;admin;2208708
Ma'anshan;China;minor;2202899
Yan'an;China;;2187009
Baku;Azerbaijan;primary;2181800
Gaoping;China;minor;2174000
Harare;Zimbabwe;primary;2150000
Havana;Cuba;primary;2141652
Phnom Penh;Cambodia;primary;2129371
Ningbo;China;minor;2125500
Mogadishu;Somalia;primary;2120000
Puning;China;;2118200
Medan;Indonesia;admin;2109330
Huaibei;China;;2114276
Qingyang;China;minor;2111000
Riverside;United States;;2107852
Baltimore;United States;;2106068
Haiphong;Vietnam;admin;2103500
Las Vegas;United States;;2104198
Chongzuo;China;minor;2099400
Rawalpindi;Pakistan;minor;2098231
Kumasi;Ghana;admin;2069350
Portland;United States;;2074775
Vadodara;India;;2065771
Hezhou;China;minor;2072600
Pingliang;China;minor;2068033
San Antonio;United States;;2049293
Perth;Australia;admin;2039200
Vishakhapatnam;India;;2035922
Shengli;China;minor;2035338
Gujranwala;Pakistan;minor;2027001
Baicheng;China;minor;2032356
Fushun;China;;2024000
St. Louis;United States;;2024074
Bamako;Mali;primary;2009109
Quito;Ecuador;primary;2011388
Minsk;Belarus;primary;2009786
Indore;India;;1994397
Yinchuan;China;admin;1993088
Kananga;Congo (Kinshasa);admin;1971704
Peshawar;Pakistan;admin;1970042
Sapporo;Japan;admin;1961690
Esfahan;Iran;admin;1961260
Caracas;Venezuela;primary;1943901
Pingxiang;China;minor;1933200
Aleppo;Syria;admin;1916781
Tijuana;Mexico;minor;1922523
Almaty;Kazakhstan;admin;1916822
Vienna;Austria;primary;1911191
Thane;India;;1886941
Sacramento;United States;admin;1898019
Blantyre;Malawi;admin;1895973
Tainan;Taiwan;admin;1883831
Zhuhai;China;minor;1891100
Bucharest;Romania;primary;1883425
Curitiba;Brazil;admin;1879355
Multan;Pakistan;minor;1871843
Xiping;China;minor;1873000
Ecatepec;Mexico;minor;1857188
Jixi;China;minor;1862165
Saidu Sharif;Pakistan;minor;1860310
Liaoyang;China;;1858768
Hamburg;Germany;admin;1852478
Meru;Kenya;admin;1833000
Brazzaville;Congo (Brazzaville);primary;1827000
Orlando;United States;;1822394
Fuxin;China;;1819339
Wuwei;China;minor;1815059
Manaus;Brazil;admin;1802014
