Rochelle,22,26,ext
Bordeaux,29,19,dom
Brive,31,26,ext
Pau,43,17,dom
Toulouse,17,19,dom
Castres,13,26,ext
Lyon,26,33,dom
Racing92,31,38,ext
Paris,23,19,dom
Toulon,26,16,ext
